NUMERO PEDIDO,NUMERO FACTURA,COD-ART,ESTATUS LINEA,ESTATUS LINEA FDV,CANT PEDIDA,CANTIDAD ART,VENTA DOLARES
P017817826042166027,07001974,03-50-000,DESPACHADO,DESPACHADO,1.0,1.0,65.8272
P017817826042166027,07001974,03-32-029,DESPACHADO,DESPACHADO,1.0,1.0,18.7968
P017817826042966105,07006924,13-19-132,DESPACHADO,DESPACHADO,1.0,1.0,15.08
P017817826042966111,07007444,01-16-054,DESPACHADO,DESPACHADO,1.0,1.0,25.88
P017817826040865911,06995732,03-20-045,DESPACHADO,DESPACHADO,1.0,1.0,98.67
P017817826040865911,06995732,03-20-047,DESPACHADO,DESPACHADO,1.0,1.0,94.76
P017817826041465977,06998999,16-13-068,DESPACHADO,DESPACHADO,1.0,1.0,8.87
P017817826041465977,06998999,22-43-007,DESPACHADO,DESPACHADO,1.0,1.0,18.91
P017817826043066120,07007864,10-28-027,DESPACHADO,DESPACHADO,1.0,1.0,35.5054
P017817826041465966,06998540,07-19-011,DESPACHADO,DESPACHADO,1.0,1.0,16.51
P017817826042866100,07006814,04-37-037,DESPACHADO,DESPACHADO,1.0,1.0,481.85
P017817826041565981,06999293,16-34-089,DESPACHADO,DESPACHADO,1.0,1.0,54.0
P026217826041460216,06998638,13-61-004,DESPACHADO,DESPACHADO,1.0,1.0,23.41
P026217826042160221,07002392,13-61-004,DESPACHADO,DESPACHADO,1.0,1.0,24.58
P017817826042166027,07001974,03-51-026,DESPACHADO,DESPACHADO,2.0,2.0,149.9136
P017817826042166027,07001974,30-37-014,DESPACHADO,DESPACHADO,2.0,2.0,43.3
P017817826042966105,07006924,17-19-012,DESPACHADO,DESPACHADO,2.0,2.0,54.336
P017817826042966105,07006924,03-24-039,DESPACHADO,DESPACHADO,2.0,2.0,69.32
P017817826042966105,07006924,03-58-017,DESPACHADO,DESPACHADO,2.0,2.0,61.52
P017817826040965929,06996595,17-02-010,DESPACHADO,DESPACHADO,2.0,2.0,5.82
P017817826042366052,07003446,20-19-056,DESPACHADO,DESPACHADO,2.0,2.0,50.8
P017817826042466061,07004438,22-07-220,DESPACHADO,DESPACHADO,2.0,2.0,13.36
P017817826042966111,07007444,20-43-020,DESPACHADO,DESPACHADO,2.0,2.0,87.08
P017817826040765902,06995317,13-55-009,DESPACHADO,DESPACHADO,2.0,2.0,41.62
P017817826040765902,06995317,10-71-000,DESPACHADO,DESPACHADO,2.0,2.0,19.34
P017817826042166028,07001919,10-52-000,DESPACHADO,DESPACHADO,2.0,2.0,36.0
P017817826040865922,06995963,20-40-014,DESPACHADO,DESPACHADO,2.0,2.0,10.54
P017817826041665994,07000058,20-40-014,DESPACHADO,DESPACHADO,2.0,2.0,10.54
P017817826041465966,06998540,07-19-012,DESPACHADO,DESPACHADO,2.0,2.0,17.0
P017817826042466059,07004173,02-19-022,DESPACHADO,DESPACHADO,10.0,10.0,11.9
P026217826042960231,07007447,04-43-026,DESPACHADO,DESPACHADO,10.0,10.0,9.5
P017817826050466134,07008747,22-43-026,DESPACHADO,DESPACHADO,4.0,4.0,72.7936
P026217826042260227,07002801,22-61-054,DESPACHADO,DESPACHADO,4.0,4.0,131.2992
P017817826042966103,07006815,10-49-008,DESPACHADO,DESPACHADO,6.0,6.0,287.46
P026217826042260227,07002801,22-61-052,DESPACHADO,DESPACHADO,5.0,5.0,101.753
P026217826041360215,06998422,12-22-011,DESPACHADO,DESPACHADO,3.0,3.0,28.5
P017817826043066120,07007864,13-73-016,DESPACHADO,DESPACHADO,12.0,12.0,238.6104
P017817826041465966,06998540,13-73-016,DESPACHADO,DESPACHADO,12.0,12.0,231.96
P017817826042166036,07002528,22-43-007,DESPACHADO,DESPACHADO,6.0,6.0,111.1908
P017817826042166036,07002528,37-01-023,DESPACHADO,DESPACHADO,4.0,4.0,39.56
P017817826042366052,07003446,16-31-008,DESPACHADO,DESPACHADO,6.0,6.0,32.88
P017817826042366052,07003446,16-31-007,DESPACHADO,DESPACHADO,6.0,6.0,32.88
P017817826042466061,07004438,22-07-217,DESPACHADO,DESPACHADO,3.0,3.0,16.35
P017817826040965929,06996595,13-70-021,DESPACHADO,DESPACHADO,3.0,3.0,19.44
P017817826042966111,07007444,01-28-174,DESPACHADO,DESPACHADO,4.0,4.0,25.48
P017817826042966111,07007444,01-28-028,DESPACHADO,DESPACHADO,4.0,4.0,17.0
P017817826040965929,06996595,17-02-012,DESPACHADO,DESPACHADO,4.0,4.0,20.564
P017817826040865911,06995732,37-19-041,DESPACHADO,DESPACHADO,5.0,5.0,180.1
P017817826042966111,07007444,17-03-004,DESPACHADO,DESPACHADO,5.0,5.0,24.4
