EMPRESA,RAZON SOCIAL,NUMERO PEDIDO,ESTADO DEL DOCUMENTO,NUMERO FACTURA,FECHA PEDIDO,FECHA LIBERACION,FECHA FACTURACION,FECHA LIQUIDACION,FECHA SALIDA,FECHA_LLEGADA_CLIENTE,Conductor,Transporte,NUMERO VIAJE,CIUDAD,ESTADO,ZONA DE VENTA,MONTO TOTAL
FEBECA,"SERVIGILS, C.A.",P017817826042166027,FACTURADO,07001974,2026-04-21,,2026-04-21T00:00:00,,2026-04-21T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,466.2376
FEBECA,"FLAMEZ MENDOZA, C.A",P017817826042966105,FACTURADO,07006924,2026-04-29,,2026-04-29T00:00:00,,2026-04-30T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,301.74600000000004
FEBECA,"INGEDAC INGENIERIA DAC, C.A",P017817826042966111,FACTURADO,07007444,2026-04-29,,2026-04-29T00:00:00,,2026-04-30T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,179.84
FEBECA,"SERVIGILS, C.A.",P017817826040865911,FACTURADO,06995732,2026-04-08,,2026-04-08T00:00:00,,2026-04-09T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,373.53
FEBECA,"PLACARD CREATIVO, C.A.",P017817826041465977,FACTURADO,06998999,2026-04-14,,2026-04-15T00:00:00,,2026-04-15T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,98.978
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826043066120,FACTURADO,07007864,2026-04-30,,2026-04-30T00:00:00,,2026-04-30T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,274.1158
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826041465966,FACTURADO,06998540,2026-04-14,,2026-04-14T00:00:00,,2026-04-14T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,265.47
FEBECA,"SERVIGILS, C.A.",P017817826042866100,FACTURADO,07006814,2026-04-28,,2026-04-29T00:00:00,,2026-04-29T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,481.85
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826041565981,FACTURADO,06999293,2026-04-15,,2026-04-15T00:00:00,,2026-04-15T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,54.0
FEBECA,"AYJ SUMINISTROS, C.A.",P026217826041460216,FACTURADO,06998638,2026-04-14,,2026-04-14T00:00:00,,2026-04-14T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,23.41
FEBECA,"AYJ SUMINISTROS, C.A.",P026217826042160221,FACTURADO,07002392,2026-04-21,,2026-04-21T00:00:00,,2026-04-22T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,24.58
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826040965929,FACTURADO,06996595,2026-04-09,,2026-04-09T00:00:00,,2026-04-09T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,66.72399999999999
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826042366052,FACTURADO,07003446,2026-04-23,,2026-04-23T00:00:00,,2026-04-23T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,116.56
FEBECA,DISMAPLO VALENCIA C.A.,P017817826042466061,FACTURADO,07004438,2026-04-24,,2026-04-24T00:00:00,,2026-04-25T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,178.06279999999998
FEBECA,"SERVIGILS, C.A.",P017817826040765902,FACTURADO,06995317,2026-04-07,,2026-04-07T00:00:00,,2026-04-09T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,60.96
FEBECA,"SERVIGILS, C.A.",P017817826042166028,FACTURADO,07001919,2026-04-21,,2026-04-21T00:00:00,,2026-04-29T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,36.0
FEBECA,"PLACARD CREATIVO, C.A.",P017817826040865922,FACTURADO,06995963,2026-04-08,,2026-04-08T00:00:00,,2026-04-09T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,10.54
FEBECA,"PLACARD CREATIVO, C.A.",P017817826041665994,FACTURADO,07000058,2026-04-16,,2026-04-16T00:00:00,,2026-04-17T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,10.54
FEBECA,"AYJ SUMINISTROS, C.A.",P017817826042466059,FACTURADO,07004173,2026-04-24,,2026-04-24T00:00:00,,2026-04-24T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,11.9
FEBECA,"INGEDAC INGENIERIA DAC, C.A",P026217826042960231,FACTURADO,07007447,2026-04-29,,2026-04-29T00:00:00,,2026-04-30T00:00:00,,,,CLIENTE RETIRA,San José,Valencia,178,9.5
